रोपवाटिका.	नर्सरी
या नमस्कार.	हॅलो
फाटकापाशी रखवालदाराने स्वागत केले.	फाटल्यान गार्डान ताका येवकार दिलो
पंकज व त्याचे बाबा फाटकातून आत आले.	पंकज आनी ताचो बापूय फाटल्यान भितर सरले
दुतर्फा रंगीबेरंगी झाडे असलेल्या वाटेने चालत ते कार्यालयात पोहोचले.	दोनूय वटांनी रंगीत झाडां आशिल्ले एके वाटेन चलत ते कचेरेंत पावले
कार्यालयात मालक बसले होते.	मालक कचेरेंत बशिल्ले
आम्हाला काही रोपटी खरेदी करावयाची आहेत आणि रोपवाटिकाही पाहावयाची आहे.	आमकां कांय रोपे विकते घेवपाचे आसात आनी नर्सरीय पळोवपाची आसा
बाबा म्हणाले.	दादल्यान सांगलें
ठीक आहे आमचा रवळू तुम्हाला सर्व वाटिका फिरवून दाखवील.	बरें आमचे कावळे तुमकां सगले कडेन वळखतले
मालकाने सांगितले.	मालक हांणी सांगलें
रवळूबरोबर ते दोघे निघाले.	ते दोगूय रवळूक घेवन भायर सरले
प्रथम ते गुलाबाच्या कुंड्यांकडे आले.	पयलीं ते गुलाबाच्या मडक्यां कडेन आयले
शेकडो कुड्यांत वेगवेगळ्या रंगांची व आकाराची फुले फुलली होती.	शेंकड्यांनी कळ्यांक विंगड विंगड रंगांचीं आनी आकारांचीं फुलां आसतालीं
त्या सर्व कुंड्या मोठ्या जागेत मांडून ठेवल्या होत्या.	तीं सगळीं मडकीं एका व्हड जाग्यार रचून दवरिल्लीं
रोपट्यांबरील रंगीबेरंगी गुलाब पाहून पंकजला आनंद झाला.	वनस्पतींतलीं रंगीबेरंगी गुलाबां पळोवन पंकज खूश जालो
त्यातील काही रोपटी त्याने खरेदी करण्यासाठी निवडली. जवळच जास्वंदीच्या कुंड्या होत्या.	तातूंतलीं कांय वनस्पत ताणें विकत घेवपा खातीर वेंचून काडलीं लागींच जास्वंदीचीं मडकीं आशिल्लीं
त्यातील लाल पिवळ्या व निळ्या रंगांच्या फुलांच्या कुंड्यांची निवड केली.	तांबडो हळडुवो आनी निळो फुलांचो मडको वेंचून काडलो
भारतीय नागरिकांची मूलभूत कर्तव्ये भारतीय राज्यघटनेत खालील मूलभूत कर्तव्यांचा अंतर्भाव केला आहे.	भारतीय नागरिकांचीं मुळावी कर्तव्यां भारताच्या संविधानांत सकयल दिल्ल्यो मुळाव्यो कर्तव्यां निश्र्चित केल्यात
भारतीय राज्यघटनेचे पालन करणे आणि तिच्या तत्त्वांचा संस्थांचा.	भारतीय संविधान आनी ताच्या संस्थांच्या तत्वांक पाळो दिवप
तसेच राष्ट्रध्वजाचा आणि राष्ट्रगीताचा सन्मान करणे.	आनी राष्ट्रध्वज आनी राष्ट्रगीताचो आदर करप
आपल्या देशाच्या स्वातंत्र्य लढ्याला प्रेरणा देणारी उदात्त तत्त्वे.	आमच्या देशाच्या सुटके झुजाक प्रेरणा दिवपी उदात्त तत्वां
हृदयात जतन करून त्यांचे पालन करणे.	तांकां मनांत सांबाळून दवरप आनी पाळप
भारताचे सार्वभौमत्व एकता आणि अखंडता यांचे संरक्षण व संवर्धन करणे.	भारताचें सार्वभौमत्व एकवट आनी अखंडतायेची राखण करप आनी ताचो प्रसार करप
देशरक्षणासाठी ब देशसेवेसाठी हाक येईल तेव्हा समर्पित होणे.	देशाच्या संरक्षणाक समर्पीत जावप ब देशाची सेवा करपाचें आवाहन येता तेन्ना समर्पीत जावप
धार्मिक भाषिक प्रांतिक इत्यादी भेदभाव न मानता सर्व भारतीयांत.	सगळ्या भारतीयांमदीं धर्मीक उलोवपी प्रादेशीक आदींची पर्वा करिनासतना
एकता आणि बंधुभाव वृद्धिंगत करणे तसेच महिलांचा सन्मान.	एकचार आनी भावपणाक चालना दिवप आनी बायलांचो आदर करप
आणि प्रतिष्ठा यांना बाधा आणणाऱ्या रीतिरिवाजांचा परित्याग करणे.	आनी प्रतिश्ठेक आडमेळीं हाडपी चालीरिती सोडून दिवप
विविधतेने नटलेल्या आपल्या वैभवसंपन्न वारशाचा सन्मान राखून तो जतन करणे.	विविधतायेन भरिल्ले आमच्या वैभवशाली दायजाचो भोवमान करप आनी तिगोवन दवरप
राने तलाव नद्या आणि वन्यप्राणी अंतर्भूत असलेल्या नैसिर्गिक पर्यावरणाचे संरक्षण व संवर्धन करणे तसेच सर्व जीवसृष्टीशी दयाभावाने वागणे.	रानवटी तळीं न्हंयो आनी रानवटी जीव हांचो आस्पाव आशिल्ल्या सैमीक वातावरणाची राखण आनी संवर्धन करप आनी सगळ्या जिवांक दयाळपणान वागप
वैज्ञानिक दृष्टी मानवतावाद जिज्ञासा आणि सुधारक वृत्ती यांची जोपासना करणे.	विज्ञानीक दृश्टीकोन मानवतावाद कुतूहल आनी सुदारणावादी आत्म्याचें पोशण करप
सामाजिक मालमत्तेचे संरक्षण करणे आणि प्रतिज्ञापूर्वक हिंसाचारापासून दूर राहणे.	समाजीक मालमत्तेची राखण करप आनी सोपूत घेतिल्ल्या हिंसाचारा पसून पयस रावप
सर्व क्षेत्रातील वैयक्तिक आणि सांघिक कार्यात सर्वोत्तमता प्राप्त करण्यासाठी प्रयत्नांची पराकाष्ठा करणे.	सगल्या मळांचेर वैयक्तीक आनी सांघीक कार्यांत उत्कृश्टताये खातीर यत्न करप
रवळू आम्हाला नारळाची रोपटी दाखव ना.	आमकां नाल्लाचे रोंपे दाखयतात
बाबा म्हणाले.	दादल्यान सांगलें
रवळू त्यांना घेऊन नारळाची रोपटी असलेल्या विभागात गेला.	रवळून तांकां नाल्लाची झाडां आशिल्ल्या विभागांत व्हेले
ही रोपं आहेत ना ह्यांना चार वर्षात फळं येतात.	ह्या वनस्पतींक चार वर्सांनी फळां येतात
त्यांची फळं लहान असली तरी पीक भरपूर असतं.	तांचीं फळां ल्हान आसलीं तरी पीक भरपूर प्रमाणांत आसता
झाडंही उंच वाढत नाहीत.	झाडांय उंच वाडनात
ती पलीकडे आहेत ना त्यांना सात  आठ वर्षात फळं येतात.	ते ताचे पयलीं आसून तांकां सात ते आठ वर्सांनी फळां येतात
त्यांची फळं मोठी असतात तशीच रुचकरही असतात.	तांचीं फळां रुचीक तितलीं व्हड आसतात
झाडांचं आयुष्यही भरपूर असतं.	झाडांकूय खूब जीव आसता
रवळूने अनेक प्रकारची नारळाची रोपे दाखविली.	रवळून तरेकवार नाल्लाची वनस्पत दाखयली
त्यांतील काही रोपे बाबांनी निवडली.	दादल्यान तातूंतलीं कांय वनस्पत वेंचून काडलीं
त्यानंतर ते चिकू लिंबू पेरू यांची रोपे पाहायला गेले.	उपरांत तो चिकू लिंबू पेरूची वनस्पत पळोवपाक गेलो
छोट्या छोट्या रोपट्यांवरआलेली मोठी फळे पाहून पंकजला नवल वाटले.	ल्हान वनस्पतींतलीं व्हडलीं फळां पळोवन पंकजाक अजाप जालें
त्याने पेरूचे रोप घेण्याचा बाबांना आग्रह केला.	ताणें बापायक पेरूची वनस्पत घेवपाचो आग्रह केलो
बाबांनी एक चांगलेसे रोप निवडले.	दादल्यान बरी वनस्पत वेंचून काडली
जवळच आंब्याची रोपे होती.	लागींच आंब्याचीं झाडां आशिल्लीं
कोणकोणत्या आंब्याच्या जाती आहेत ह्या.	ह्यो खंयच्यो आंब्याच्यो जाती आसात
रोपांकडे पाहात बाबांनी रवळूला विचारले.	झाडां पळोवन दादल्यान रवळूक विचारलें
वेगवेगळ्या रोपांकडे बोट दाखवीत रवळू सांगू लागला.	ताणें विंगड विंगड वनस्पतीं कडेन बोट दाखयलें आनी रडपाक लागलो
मानकुराद हापूस जमादार तोतापुरी लंगडा फेर्नांद बारामासी भिसम सुकालनिलम आणि रुमानी.	मानकुराद हापूस जमादार तोतापुरी लंगडे फर्नांडा बारामासी भिसम सुकलानिलम आनी रुमाणी
पंकजला आंब्यांच्या जातींची नावे ऐकून गंमत वाटली.	आंब्याच्या जातींचीं नांवां आयकून पंकज अजापीत जालो
नंतर ते पुढे गेले.	उपरांत ते फुडें सरले
तेथे काही कामगार खणत होते.	थंय कांय कामगार खणटाले
तर काहीजण मातीत रेती व सुके शेण मिसळत होत.	हेरांनी जमनींत रेंव आनी सुकें शेणखत घोळयलें
कुंड्यांत ब प्लॅस्टीक पिशवीत रेतीमिश्रित माती भरत होते.	मडक्यांत ब प्लास्टीक पोतयांत रेंव घालून माती भरतालो
पंकज बारकाईने हे सर्व पाहत होता.	पंकज हें सगळें बारीकसाणेन पळयतालो
ते मातीत रेती का मिसळतात हो.	ते मातयेंत रेंव कित्याक घोळटात
पंकजने रवळूला विचारले.	पंकजान रवळूक विचारलें
मातीत रेती व सुके शेण मिसळल्यामुळे माती भुसभुशीत राहाते. त्यामुळे मुळांची वाढ जलद व सहज होते.	जमनींत रेंव आनी सुकें शेणखत मिसळिल्ल्यान माती भूंयगत उरता हाका लागून मुळां बेगीन आनी सोंपी जातात
रवळूने उत्तर दिले.	रवळून जाप दिली
त्यापुढील विभागात कुंड्या व प्लॅस्टीक पिशव्या ओळीने ठेवलेल्या होत्या.	फुडल्या विभागांत मडक्यो आनी प्लास्टिकाच्यो पोतयो रांगेंत उब्यो आशिल्ल्यो
प्रत्येक कुंडीत व पिशबीत एकेक रोपटे होते.	दरेक मडक्यांत आनी पोतयेंत एक एक वनस्पत आसताली
एक कामगार झारीतील पाण्याने त्यांना शिंपीत होता.	तातूंतलो एक कामगार तांकां बरणींतलें उदक शिंपडटालो
काहीजण आंबा काजू चिकू पेरू लिंबू यांच्या छोट्या छोट्या फांद्यांचे एक टोक तिरपे कापत होते.	कांय जाण आंब्याच्या काजू चिकू पेरू लिंबाच्या ल्हान फांट्यांचे एक तोंक तिरपे कापताले
कुंड्यांतील रोपट्यांचा वरचा भाग कापून तेथे खाच पाडत होते आणि त्या खाचेत फाद्यांचा तिरपा कापलेला भाग भरून गच्च बांधत होते.	मडक्यांतल्या वनस्पतींचो माथ्यार कापून थंय खंदक घालताले आनी फांट्यांचो तिरको भाग खंदकांत भरताले
काय करतात हेपंकजने रवळूला विचारले.	तशेंच ताणें रवळूक आपूण कितें करता अशेंय विचारलें
फळे फुले चांगली व लवकर मिळावीत म्हणून चांगल्या जातीच्या झाडाची फांदी साध्या रोपावर बांधतात.	फळां आनी फुलां बरे तरेन आनी बेगीन मेळची म्हूण बऱ्या जातीच्या झाडाच्यो फांदयो एका साद्या वनस्पतीक बांदतात
त्यामुळे चांगल्या जातीचे रोप तयार होते.	हाका लागून बऱ्या तरेची वनस्पत तयार जाता
यालाच कलम करणे असे म्हणतात.	हाका पेन तयार करप अशें म्हणटात
रवळूने माहिती दिली.	रवळू हांणी म्हायती दिली
पंकजला रोपवाटिका पाहून समाधान वाटले.	नर्सरी पळोवन पंकज समाधानी जालो
खूप झाडे लावून आपली बाग सजवावी असे त्याने ठरविले.	ताणें आपली बाग खूब झाडांनी सजोवपाचें थारायलें
शब्दार्थ.	शब्दार्थ
फाटक  कुंपणाला असलेले दार.	फातराच्या कुंपणाचें दार
मिश्रित  मिसळलेली.	मिश्र मिश्र घोळटात
रखवालदार  राखण करणारा.	राखणदार
खालील प्रश्नांची उत्तरे प्रत्येकी एका वाक्यात लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी एका वाक्यांत बरोवप
पंकज व बाबा यांचे स्वागत रखवालदाराने कसे केले.	पंकज आनी बाबाक रक्षकांनी कशें येवकार दिलो
बाबांनी मालकांना काय सांगितले.	दादल्यान मालकांक कितें सांगलें
रवळूने पंकज व बाबांना प्रथम कुठे नेले.	रवळून पयलीं पंकज आनी बाबाक खंय व्हेले
पंकजने कोणती फुलझाडे खरेदी केली.	पंकजान खंयचीं फुलांची वनस्पत विकत घेतली
पंकजला कोणत्या गोष्टीचे नवल वाटले.	पंकजाक कित्याक अजाप जालें
रोपवाटिका पाहून पंकजने काय करायचे ठरविले.	नर्सरी पळोवन पंकजान कितें करपाचें थारायलें
खालील प्रश्नांची प्रत्येकी तीन ते चार वाक्यात उत्तरे लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी तीन ते चार वाक्यांनी बरोवप
रवळूने माडाच्या रोपांबद्दल कोणती माहिती सांगितली.	माडाच्या झाडां विशीं रवळून आमकां कसली म्हायती सांगली
कामगार कोणकोणती कामे करीत होते.	कामगार कितें करताले
रोप लावायच्या मातीत रेती व सुके शेण का मिसळतात.	वनस्पत रोवपा खातीर रेंव आनी सुकें शेणखत जमनींत कित्याक घोळटात
व्यवसाय.	वेवसाय
खाली दिलेल्या वाक्यांच्या समोरील कंसातील योग्या शब्द निवडून वाक्ये.	सकयल दिल्ल्या वाक्यां मुखार कोश्टकांतलो योग्य शब्द वेंचून काडून वाक्यां
पूर्ण करून लिहा.	पुराय करप आनी बरोवप
खडखडीत सुळसुळीत भुसभुशीत.	खडबडीत वाठारांत
चकचकीत रखरखीत सणसणीत.	चकचकीत गर्ज
केल्याने होत आहे रे.	घडत आसा
श्याम हा आठदहा वर्षाचा मुलगा.	श्याम हो आठ वर्सांचो भुरगो
लहानपणी तो आपल्या आईला पोथ्यापुराणे वाचून दाखवीत असे.	ल्हानपणांत तो आवयक पुराणां वाचून दाखयतालो
संध्याकाळी देवापुढे बसून काही स्तोत्रे म्हणत असे.	सांजवेळा तो देवामुखार बसून कांय भजनां म्हणटालो
रामरक्षा मात्र त्याला पाठ म्हणता येत नव्हती.	रामरक्षा मात ताका फाटीं म्हणपाक शकली ना
त्याच्या वडिलांनी त्याला ती शिकवली नव्हती.	ताच्या बापायन ताका तशें शिकयलें ना
आपल्याला रामरक्षा पाठ म्हणता येत नाही याचे श्यामला खूप बाईट बाटे.	रामरक्षा पाठ म्हणूंक मेळना म्हूण श्यामला खूब अस्वस्थ जाता
श्यामच्या शेजारी त्याचा मित्र भास्कर राहत होता.	श्यामाचो इश्ट भास्कर शेजारीच रावतालो
संध्याकाळ झाली की भास्कर रामरक्षा मोठ्याने म्हणत असे.	सांज आयल्यार भास्कर मोठ्यान रामरक्षा म्हणटालो
भास्करला पाठ म्हणता येते पण आपल्याला ती पाठ म्हणता.	भास्कराक फाटीं म्हणूं येता पूण ताका फाटीं म्हणूं येता
येत नाही याची श्यामला खंत वाटे.	श्यामाक येवंक नाशिल्ल्याची खंत जाली
एके दिवशी भास्कर एकटाच घरी होता.	एक दीस भास्कर एकलो घरा आशिल्लो
तो मोठमोठ्याने रामरक्षा म्हणत असताना श्याम त्याच्या घरी गेला.	रामरक्षा मोठ्यान म्हणत आसतना श्याम आपल्या घरा गेलो
तेव्हा भास्कर त्याला म्हणाला अरे श्याम मी रोज रामरक्षा म्हणतो.	तेन्ना भास्करान ताका म्हणलें 'हे श्याम हांव दर दिसा रामरक्षा म्हणटा
तुला कुठे येते.	खंयच्यान मेळटा
भास्करचे शब्द कानी पडताच श्याम संतापला.	भास्कराचीं उतरां आयकून श्यामाक राग आयलो
तो भास्करच्या अंगावर धावून गेला व त्याला चांगलेच सुनावले.	ताणें भास्कराचेर धांव मारली आनी ताका बरे तरेन सांगलें
तुला पाठ म्हणता येते हे माहीत आहे मला एवढी ऐट नको काहीमाझ्याजवळ पुस्तक असतं तर तुझ्या आधी मी पण पाठ केली असती.	तुमकां खबर आसा तुमकां धडो म्हणूं येता म्हजे कडेन पुस्तक आसल्यार म्हाका तशें कांयच जायना हांवें तुमचे मुखार तें वाचन केल्लें आसलें
मोठा आला आहे पाठ करणारा"श्यामचा मोठा आवाज ऐकून त्याची आई तिथे आली.	जो व्हड जाला तोच तो म्हणटा" श्यामाचो व्हडलो आवाज आयकून ताची आवय थंय आयली
ती श्यामला म्हणाली 'अरे श्याम मी सर्व ऐकलं आहे.	तिणें श्यामाक म्हळें 'अरे श्याम हांवें सगळें आयकलां
तुला पाठ येत नाही असं त्यानं म्हटलं तर त्यात चिडण्यासारखं काय आहे खरं तेच त्यानं सांगितलं.	तुमकां फाटीं घेवंक मेळना अशें ताणें सांगलें जाल्यार ताचे विशीं तिडक येवपा सारकें कितें आसा तें ताणें म्हाका फकत सांगलें
आपला कमीपणा दाखविला म्हणून रागवावं कशालाती उणीव दूर्‌ करण्यचा प्रयत्न कराबा.	आपलें दुबळेपण दाखयलां म्हूण रागार जावन ती भरून काडपाचो यत्न करचो
तू पाठ का करीत नाहीस"आई मी बरेच दिवस भाऊंच्या मागे लागलो की मला रामरक्षा शिकवा म्हणून.	तूं तें कित्याक म्हणना" आई हांव म्हज्या भावां फाटल्यान खूब दीस रामरक्षा शिकोवपाक गेलो
पण त्यांना वेळच मिळत नाही.	पूण तांकां वेळ मेळना
